Date,xlb,xle,xlf,xli,xlk,xlp,xlu,xlv,xly
12/22/1998,14.214053,17.620825,16.837821,17.481378,26.977797,18.625472,16.477519,20.06963,21.098276
12/23/1998,14.363346,17.987683,17.0861,17.786422,27.622315,19.07573,16.408467,20.520633,21.188878
12/24/1998,14.693901,17.893011,17.198954,18.021071,27.517087,19.042788,16.710572,20.645911,21.577199
12/28/1998,14.565943,17.798339,16.973246,18.114931,27.596008,18.932968,16.624257,20.345243,21.383038
12/29/1998,14.832527,17.975854,17.153812,18.373045,27.674929,19.350284,16.900465,20.796246,21.849013
12/30/1998,14.789874,17.703667,17.0861,18.290923,27.569701,19.229486,16.762361,20.620856,21.6678
12/31/1998,14.960486,17.679999,16.928104,18.44344,27.464473,19.086716,16.701944,20.846357,21.641913
1/4/1999,14.779207,17.668161,16.928104,18.185326,27.780156,18.932968,16.434364,20.796246,21.512476
1/5/1999,15.141756,17.573489,17.0861,18.560765,28.490445,19.07573,16.632892,21.12197,21.8749
1/6/1999,15.408332,18.153359,17.627799,18.959669,29.332267,19.306356,16.805522,21.47275,22.496199
1/7/1999,15.291041,18.070526,17.898649,18.795414,29.240196,19.086716,16.745098,21.372527,22.470312
1/8/1999,15.813542,18.153359,18.011503,18.936204,29.358574,19.009846,16.840048,21.635617,22.496199
1/11/1999,15.845528,17.810169,17.740653,18.760221,29.647951,18.625472,16.39121,21.685728,22.379701
1/12/1999,15.440326,17.537991,17.244095,18.5373,28.845585,18.48271,16.399838,21.598029,21.797238
1/13/1999,15.099103,17.277643,17.018387,18.068001,28.832435,18.515652,16.512045,21.397583,21.900788
1/14/1999,14.843186,16.946291,16.589542,17.98587,28.437831,18.164228,16.235837,21.222193,21.408926
1/15/1999,15.06711,17.206639,17.063529,18.290923,29.279654,18.361904,16.313523,21.510329,21.680749
1/19/1999,14.789874,17.206639,16.973246,18.255721,30.292475,18.153242,16.865939,22.124199,21.6678
1/20/1999,14.736554,17.064631,17.097389,18.173589,30.568695,18.208156,16.796887,22.249477,22.030225
1/21/1999,14.672575,17.206639,16.792679,18.021071,29.779486,17.933602,16.73647,21.47275,21.823125
1/22/1999,14.384664,17.111967,16.679825,17.669097,29.253347,17.845746,16.848676,21.38506,21.926675
1/25/1999,14.672575,17.088299,16.81525,17.962413,29.766336,17.801818,16.21858,21.56044,21.8749
1/26/1999,14.629922,16.922623,16.82654,17.962413,30.963299,18.219142,16.537942,21.660663,22.392649
1/27/1999,14.512623,16.614939,16.612113,18.103203,30.305625,18.460738,16.287632,21.447694,22.366762
1/28/1999,14.331352,16.520267,16.860392,18.126659,31.371054,18.790206,16.313523,21.848586,22.599749
1/29/1999,14.405999,16.520267,17.221525,18.243993,31.831429,18.834134,16.287632,21.848586,22.755074
2/1/1999,14.52329,16.354591,16.928104,18.267449,31.857736,18.757256,16.253106,21.973864,22.806849
2/2/1999,14.533957,16.378259,16.747538,18.126659,31.31844,18.911004,16.037316,21.64814,22.522087
2/3/1999,14.544616,16.756947,16.871681,18.302651,31.542053,18.845112,16.123631,22.061555,22.884511
2/4/1999,14.971145,16.851619,16.476688,18.326116,30.463467,18.757256,15.881949,21.898697,22.755074
2/5/1999,15.17375,17.324979,16.341263,18.267449,29.726872,18.471724,15.890577,21.64814,22.18555
2/8/1999,15.099103,17.561659,16.296122,18.326116,30.226704,18.438782,15.890577,21.635617,22.547974
2/9/1999,14.811193,17.230307,16.070414,18.079729,29.042891,18.109314,15.959629,21.247249,21.849013
2/10/1999,14.843186,17.277643,16.205838,18.150133,29.253347,18.241098,15.847423,21.29736,21.849013
2/11/1999,14.693901,17.135635,16.860392,18.39651,30.489774,18.548594,15.916475,21.873642,22.560922
2/12/1999,14.619263,16.780615,16.612113,18.290923,29.279654,18.394854,15.65753,21.547917,22.159662
2/16/1999,14.480637,16.662275,16.860392,18.384782,29.148119,18.614494,15.942372,21.748363,22.444424
2/17/1999,14.331352,16.496599,16.928104,18.384782,28.490445,18.427796,15.83016,21.522861,22.366762
2/18/1999,14.437984,16.543935,17.097389,18.384782,28.648286,18.625472,16.115002,21.798474,22.392649
2/19/1999,14.555276,16.449263,17.153812,18.502098,28.911356,18.548594,15.942372,21.861109,22.509148
2/22/1999,14.800533,16.614939,17.65037,18.783678,29.937328,18.943946,16.460262,22.324644,23.078672
2/23/1999,14.672575,16.472931,17.876078,18.771949,30.331932,18.911004,15.942372,22.287065,22.962173
2/24/1999,14.629922,16.401927,17.289237,18.72502,29.490109,18.801184,16.089105,22.023976,22.677411
2/25/1999,14.629922,16.484761,17.176383,18.349581,29.56903,18.581544,15.743845,21.810998,22.418537
2/26/1999,14.629922,16.378259,17.492374,18.408239,28.674593,18.63645,15.838794,21.873642,22.612697
3/1/1999,14.459311,16.212583,17.560087,18.39651,28.543058,18.548594,15.605741,21.836063,22.625636
3/2/1999,14.331352,16.046907,17.605228,18.243993,27.780156,18.493688,15.372687,21.82353,22.677411
3/3/1999,14.235387,16.401927,17.435943,18.138396,28.253682,18.493688,15.381322,21.685728,22.560922
3/4/1999,14.27804,16.993627,17.830936,18.49037,28.543058,18.746278,15.623004,22.074087,23.039836
3/5/1999,14.757881,17.313149,18.282353,18.901011,29.200733,19.031802,15.890577,22.575202,23.738797
3/8/1999,14.853846,17.561659,18.158209,19.006599,30.042556,19.119658,15.709319,22.600257,23.842347
3/9/1999,14.725887,17.372315,18.304923,19.100459,29.726872,19.14163,15.666165,22.424867,23.90707
3/10/1999,14.928492,18.366371,18.643485,19.065257,29.726872,18.932968,15.614369,22.625313,23.842347
3/11/1999,15.088444,18.626719,18.733769,19.08873,29.674258,19.119658,15.735217,22.775647,24.101221
3/12/1999,15.024457,18.555715,18.767629,19.147388,29.411188,19.284392,15.907846,22.650369,24.204771
3/15/1999,15.05645,18.413707,18.824052,19.100459,29.884714,19.449126,15.951001,22.725536,24.256546
3/16/1999,14.992471,18.319035,18.553202,18.971397,30.397703,19.536983,15.890577,22.675424,24.127109
3/17/1999,14.949818,18.792395,18.395207,18.936204,30.200397,19.207514,15.743845,22.550146,24.023559
3/18/1999,15.269715,19.029075,18.824052,18.983134,30.621309,19.536983,15.976898,22.863338,24.437758
3/19/1999,15.28897,18.836202,18.466667,19.101085,29.884714,19.450463,15.682324,22.763115,24.101479
3/22/1999,15.331766,18.954967,18.511929,18.95977,29.884714,19.439466,15.73446,22.70048,23.842323
3/23/1999,14.9466,18.622424,17.878268,18.512272,29.016584,18.889388,15.239226,22.074087,23.116687
3/24/1999,14.957303,18.527412,17.833007,18.465167,29.58218,18.878391,15.447744,22.17431,22.935278
3/25/1999,15.010802,18.574918,18.24036,18.665359,30.279318,19.021405,15.395615,22.550146,23.634999
3/26/1999,14.893108,18.812449,18.081945,18.712464,30.121476,18.955405,15.195781,22.374756,23.479505
3/29/1999,15.139191,19.335017,18.489298,19.018655,31.252676,19.197427,15.11759,22.650369,24.049648
3/30/1999,15.10709,18.97872,18.27431,19.006875,31.200062,19.03241,14.874318,22.575202,24.075563
3/31/1999,14.893108,18.693683,18.059314,18.794902,30.805458,18.614357,14.839565,22.449923,23.712745
4/1/1999,15.064293,18.66993,18.104576,18.995094,31.29214,18.647366,15.152343,22.449923,23.68683
4/5/1999,15.246174,19.121239,18.466667,19.407267,32.370719,18.746374,15.273979,22.951037,23.997817
4/6/1999,14.978701,18.931214,18.330883,19.301285,32.646945,18.537344,15.195781,22.976093,24.127394
4/7/1999,15.139191,18.741189,18.828759,19.33661,32.568024,18.515349,15.395615,23.414564,24.334719
4/8/1999,15.353172,18.931214,19.168219,19.442601,32.883708,18.944399,15.803967,23.652597,24.878946
4/9/1999,15.278275,19.28751,19.122958,19.454372,32.831094,18.988405,15.691016,23.727765,25.112186
4/12/1999,15.727636,19.430029,19.462419,19.925423,32.331262,19.307449,15.916911,24.329102,25.319511
4/13/1999,15.920219,19.406276,19.439788,20.07851,31.831429,19.373449,15.656263,24.078545,25.189933
4/14/1999,16.690552,19.168745,19.19085,20.514235,31.04222,18.79038,15.430368,23.853043,24.61979
4/15/1999,17.332497,20.000103,19.009804,21.044171,31.30529,18.328321,15.586757,23.251706,24.567959
4/16/1999,17.52508,20.629556,18.919281,21.161925,30.463467,18.405327,15.760522,23.026205,24.645706
4/19/1999,17.706968,20.878968,18.919281,21.338573,28.990277,17.635237,15.916911,22.399812,24.101479
4/20/1999,17.492987,20.546424,19.168219,21.197258,29.726872,17.965271,16.090676,22.825759,24.412466
4/21/1999,17.567876,20.237634,19.462419,21.267916,30.516081,18.537344,16.377386,23.351929,24.827115
4/22/1999,17.2897,20.59393,19.666095,21.279696,31.923507,18.768377,16.325263,23.827988,24.891899
4/23/1999,17.546478,20.332646,19.598203,21.444555,31.989271,18.735377,16.316571,24.366681,25.164017
4/26/1999,17.375293,19.881338,19.304004,21.421011,32.804787,18.60336,16.229689,24.329102,25.008524
4/27/1999,17.717663,20.510799,19.643464,21.526993,31.989271,18.625355,16.325263,24.354158,25.073317
4/28/1999,18.659181,21.187758,19.530311,21.797851,31.56836,18.350324,16.255757,23.702709,24.982608
4/29/1999,18.798265,21.829091,19.598203,21.880281,31.239526,18.20731,16.490337,23.427096,24.412466
4/30/1999,18.573589,21.460923,19.326634,21.621203,30.989606,17.965271,16.273127,23.251706,24.334719
5/3/1999,19.001552,21.995363,19.552942,22.045148,31.252676,18.383332,16.516398,23.702709,24.930777
5/4/1999,18.883858,22.019116,18.941912,22.139358,30.779151,18.229305,16.377386,23.251706,24.645706
5/5/1999,19.108542,21.698454,19.055066,22.139358,31.410518,18.405327,16.507713,23.452152,24.438381
5/6/1999,19.269025,21.639067,18.738236,22.186464,30.621309,18.163304,16.160182,23.552375,23.894154
5/7/1999,19.311821,21.769704,19.100327,22.610409,31.147448,18.317316,16.360016,23.477207,24.438381
5/10/1999,19.204838,21.520301,19.032435,22.304226,31.410518,18.031287,16.316571,23.427096,24.412466
5/11/1999,19.172737,21.59156,19.258742,22.681066,31.884043,18.108293,16.377386,23.802932,24.904862
5/12/1999,18.691283,21.187758,19.530311,22.457322,32.51541,18.372327,16.420831,24.028433,25.060355
5/13/1999,18.616385,21.294642,19.711357,22.233569,32.423333,18.460338,16.63804,23.878099,24.930777
5/14/1999,18.562894,21.140252,19.100327,21.950938,31.56836,18.130296,16.325263,23.452152,24.438381
5/17/1999,18.541488,21.057111,18.738236,21.903833,32.015578,18.251315,16.664102,23.301817,23.945985
5/18/1999,18.092135,20.570177,18.783497,21.621203,32.304955,18.009277,16.299195,23.05126,24.101479
5/19/1999,18.274015,20.855215,18.919281,21.950938,32.410183,18.262313,16.63804,23.326873,23.816408
5/20/1999,18.060033,21.092745,18.670344,22.009815,31.989271,18.306318,16.603287,23.640074,24.023732
5/21/1999,18.049338,21.425289,18.625082,21.750746,31.620974,18.251315,16.446892,23.376985,23.868239
5/24/1999,17.974441,20.914593,18.217729,21.562326,30.936992,17.778251,16.611972,22.825759,23.349927
5/25/1999,17.803256,20.831461,17.742484,21.49166,30.292475,17.602229,16.629349,22.600257,23.116687
5/26/1999,17.632071,21.425289,18.319572,21.338573,30.923842,17.602229,16.716232,22.625313,23.375843
5/27/1999,17.225506,20.783955,17.878268,20.985286,30.70023,17.514218,16.429522,22.374756,22.909363
5/28/1999,16.883135,20.997733,18.161148,21.197258,31.094834,17.778251,16.464275,22.537623,23.233303
6/1/1999,17.610672,20.878968,17.900899,21.20903,30.397703,17.84426,16.455584,22.600257,23.375843
6/2/1999,17.589274,21.116499,17.787746,21.49166,30.726537,17.569221,16.455584,22.52509,23.324012
6/3/1999,17.642766,21.187758,17.776434,21.715413,30.516081,17.734246,16.299195,22.70048,23.868239
6/4/1999,17.974441,21.520301,18.104576,21.939166,31.423668,18.350324,16.542466,23.251706,24.049648
6/7/1999,18.027932,21.769704,18.444036,22.15113,31.989271,18.196304,16.681479,23.05126,24.114432
6/8/1999,17.803256,21.425289,18.115887,21.950938,31.252676,17.943276,16.681479,22.863338,23.751614
6/9/1999,17.632071,21.472795,18.070625,21.974491,31.726201,17.84426,16.811806,22.87587,23.518383
6/10/1999,17.931645,21.59156,17.731173,21.715413,31.252676,17.514218,16.672794,22.687957,23.181471
6/11/1999,17.771155,21.757832,17.765115,21.68008,30.831765,17.338196,16.559843,22.424867,23.064856
6/14/1999,18.199117,21.947857,17.674592,21.939166,30.687073,17.393199,17.020324,22.550146,23.090772
6/15/1999,18.359607,22.221022,17.765115,22.009815,30.963299,17.437204,17.037695,22.800703,22.935278
6/16/1999,18.434505,21.995363,18.229049,22.316007,32.23919,17.569221,17.202775,23.251706,23.557252
6/17/1999,18.498691,22.019116,18.579821,22.492646,32.594331,17.712243,17.055077,23.364452,23.440627
6/18/1999,18.54566,22.059032,18.608687,22.662818,32.883708,17.705619,17.115986,23.251706,23.614915
6/21/1999,18.094897,21.545749,18.722154,22.356245,33.712381,17.506796,16.984866,23.13896,24.030122
6/22/1999,17.858784,21.318956,18.517913,22.250128,33.002086,17.606207,16.923672,23.101372,23.87442
6/23/1999,17.944643,21.48607,18.336364,22.320867,33.252005,17.418433,16.871222,23.151483,23.537064
6/24/1999,17.53681,21.127969,18.041349,22.085041,32.568024,17.363211,16.687646,22.725536,23.485163
6/25/1999,17.644135,20.960855,18.086736,21.955342,32.607488,17.35217,16.600237,22.750592,23.407311
6/28/1999,17.976845,20.829547,18.50657,21.990711,33.146778,17.363211,16.775068,23.001149,23.861449
6/29/1999,17.869512,21.116028,18.5633,22.108632,33.567689,17.672479,16.783807,23.22665,24.263676
6/30/1999,17.858784,21.426391,18.94909,22.49774,34.080678,18.092201,17.142208,23.527319,24.730785
7/1/1999,18.030503,21.593496,19.153331,22.509527,34.462126,18.224744,17.08102,23.602486,24.860537
7/2/1999,18.395406,21.665125,19.153331,22.615653,34.909344,18.291016,17.089765,23.602486,24.990289
7/6/1999,18.309546,22.070964,19.312186,22.639235,34.712045,18.279975,17.037309,23.552375,25.197893
7/7/1999,18.202222,22.011285,19.244105,22.474158,35.1198,18.202654,17.194663,23.702709,24.964339
7/8/1999,18.073433,22.154526,19.176025,22.556692,35.593325,18.059069,17.054798,23.652597,24.756735
7/9/1999,18.363212,22.142593,19.198718,22.580283,35.97478,18.147431,17.054798,23.75282,24.756735
7/12/1999,18.245152,22.369386,19.039864,22.379827,36.027394,18.114291,16.984866,23.802932,24.601032
7/13/1999,18.234423,22.154526,18.835622,22.297293,35.869552,18.180563,16.906189,23.75282,24.419379
7/14/1999,18.137827,22.19034,18.881009,22.415197,36.316764,18.125332,17.011087,23.802932,24.47128
7/15/1999,17.858784,22.39326,19.051215,22.568488,36.579833,18.324156,17.273334,23.915678,24.795665
7/16/1999,18.019774,22.250019,19.153331,22.603857,36.908674,18.291016,17.474394,23.92821,24.938388
7/19/1999,17.848055,22.166458,19.01717,22.627448,36.461455,18.136382,17.308301,23.827988,24.886487
7/20/1999,17.815854,21.581564,18.778892,22.603857,34.948802,17.981748,17.386972,23.727765,24.237726
7/21/1999,17.772924,21.820298,18.5633,22.580283,35.251335,18.059069,17.49187,23.677653,24.004172
7/22/1999,17.858784,21.498002,18.585993,22.49774,34.159593,17.860245,17.465649,23.301817,23.692766
7/23/1999,17.858784,21.605437,18.381752,22.379827,34.25167,17.727702,17.352005,23.101372,23.511113
7/26/1999,17.633406,21.199589,18.449832,22.21475,33.475611,17.893385,17.378233,23.126427,23.640865
7/27/1999,17.880249,21.199589,18.699461,22.509527,34.304284,17.948608,17.483132,23.552375,23.770618
7/28/1999,17.976845,21.509943,18.472526,22.379827,34.619968,17.782932,17.448166,23.376985,23.692766
7/29/1999,17.644135,21.378644,18.200203,21.931759,34.041214,17.517845,17.159697,22.976093,23.32946
7/30/1999,17.654863,21.83223,17.79172,21.672351,33.686067,17.418433,17.194663,22.825759,22.888302
8/2/1999,17.70853,21.354762,17.700946,21.731312,33.620303,17.418433,17.456904,22.675424,22.719629
8/3/1999,17.697793,21.62931,17.474011,21.743099,33.488768,17.550977,17.343267,22.575202,22.434164
8/4/1999,18.127091,21.927724,17.247076,21.578021,33.081013,17.230667,17.08102,22.249477,21.980036
8/5/1999,18.25588,22.309698,17.315156,21.695934,33.344083,17.274848,17.238368,22.186843,21.785413
8/6/1999,17.987573,22.273893,16.861286,21.495487,33.357233,16.987671,17.168436,21.948809,21.61673
8/9/1999,17.815854,22.811049,16.906673,21.42473,32.975785,16.943489,17.238368,21.973864,21.331275
8/10/1999,17.751459,22.679741,16.611657,21.224283,32.423333,16.888259,16.923672,21.535394,21.331275
8/11/1999,18.202222,22.822981,16.929366,21.601604,33.462461,16.711534,16.836256,21.748363,21.798383
8/12/1999,18.363212,22.870728,17.008798,21.51906,33.04155,17.020802,16.74884,21.748363,22.057888
8/13/1999,18.352476,22.799108,17.564785,21.896381,34.093828,17.142305,16.967376,22.124199,22.499045
8/16/1999,18.084161,22.572315,17.496704,21.978924,34.199056,17.241708,16.836256,22.124199,22.810451
8/17/1999,18.309546,22.73942,18.132123,22.285497,34.356898,17.330071,17.019832,22.399812,22.75855
8/18/1999,17.998302,22.572315,17.939224,22.073254,33.962294,17.087082,16.914933,22.550146,22.680699
8/19/1999,18.148564,22.727487,17.700946,21.790264,33.620303,17.197527,16.722613,22.449923,22.486065
8/20/1999,18.309546,22.799108,17.950575,22.014302,33.725531,17.539936,16.678908,22.399812,22.732599
8/23/1999,18.331011,22.918475,18.427139,22.485953,34.50159,17.926525,16.757579,22.612781,23.095906
8/24/1999,18.25588,22.775234,18.472526,22.49774,35.040879,17.849204,16.713874,22.299589,23.069955
8/25/1999,17.815854,22.667808,18.325022,22.745352,35.777474,18.379378,16.9499,22.750592,23.30351
8/26/1999,17.611934,22.082905,17.905188,22.627448,35.343412,18.081151,16.958638,22.575202,22.849372
8/27/1999,17.62267,22.070964,17.610172,22.368032,35.146107,17.849204,16.731357,22.412335,22.75855
8/30/1999,17.279232,21.772551,17.031483,21.802051,34.567354,17.871295,16.504077,21.873642,22.265491
8/31/1999,16.860671,22.070964,17.008798,21.849216,34.869887,17.71666,16.37295,21.798474,22.005987
9/1/1999,17.086048,22.011285,17.088221,21.908177,35.054029,17.650389,16.434144,21.82353,22.031937
9/2/1999,16.914329,21.772551,16.759161,21.719516,34.922501,17.628298,16.206863,21.598029,21.772433
9/3/1999,17.300697,22.035158,17.610172,22.250128,36.198386,17.937566,16.512815,22.287065,22.369293
9/7/1999,17.043118,22.441006,17.133608,22.49774,36.211536,17.805023,16.399178,22.550146,22.018957
9/8/1999,17.043118,22.512627,17.02014,22.568488,35.961623,17.816064,16.163152,22.449923,21.902185
9/9/1999,17.053847,23.013968,16.815899,22.40341,36.277307,17.562026,16.224346,22.299589,21.980036
9/10/1999,17.408021,22.942348,16.940709,22.344458,36.671911,17.584117,16.285541,22.424867,22.395244
9/13/1999,17.53681,22.584247,16.781862,22.179371,36.172079,17.562026,16.434144,22.387288,22.330363
9/14/1999,17.257767,22.33358,16.475496,21.978924,36.566683,17.274848,16.442882,22.161778,22.21359
9/15/1999,17.096776,22.011285,16.396064,22.014302,35.803781,17.142305,16.460372,21.948809,22.018957
9/16/1999,16.570891,21.999353,16.339335,21.813846,35.645939,17.186486,16.37295,21.961332,21.551849
9/17/1999,16.91325,22.20703,16.689984,22.173629,36.356227,17.214387,16.586761,22.587734,21.855491
9/20/1999,16.676392,21.871286,16.49644,22.197265,36.514069,17.280801,16.498668,22.312112,21.829503
9/21/1999,16.471844,21.151836,16.234596,21.913744,35.764324,16.981906,16.278454,21.911221,21.335741
9/22/1999,16.353423,21.175818,16.223207,21.842856,35.830088,16.970831,16.586761,21.861109,21.569628
9/23/1999,16.084271,20.936001,16.09798,21.66566,34.51474,16.572299,16.437011,21.623084,21.673578
9/24/1999,15.750532,20.720166,16.211827,21.204944,34.593661,16.483736,16.199179,21.284837,21.231791
9/27/1999,16.148867,20.912019,15.938594,21.476647,34.948802,16.428389,16.437011,21.447694,21.595616
9/28/1999,15.922786,20.576276,15.915824,21.216753,35.106643,16.184841,16.252025,21.247249,21.530642
9/29/1999,16.095041,20.85207,15.801977,21.334887,34.462126,15.764168,16.463433,21.309883,21.374717
9/30/1999,16.331883,21.055909,16.120749,21.73654,34.725196,16.118419,16.789358,21.497806,21.686567
10/1/1999,16.407248,20.983964,15.847516,21.441211,34.51474,16.384107,16.674842,21.422639,21.803516
10/4/1999,16.42878,20.744148,16.450901,21.819238,35.356563,16.572299,16.947914,21.748363,22.505179
10/5/1999,16.321121,20.288496,16.519218,21.59478,35.567018,16.373041,16.498668,21.460218,22.544165
10/6/1999,16.525677,20.648221,16.803832,21.901927,36.00108,17.015113,16.745311,21.99892,22.791041
10/7/1999,16.633329,20.264514,16.644446,21.925553,35.816938,16.882269,16.50748,21.798474,22.726068
10/8/1999,16.740996,20.036693,16.940448,22.220883,35.790624,17.336157,16.630802,22.036508,23.375765
10/11/1999,16.773289,20.336459,16.758293,22.256327,36.145772,17.358297,16.525097,21.973864,23.544679
10/12/1999,16.536439,20.444372,16.439521,21.795602,35.501254,17.026187,16.199179,21.598029,23.063915
10/13/1999,16.331883,20.576276,15.949974,21.181309,34.567354,16.694077,16.348924,21.12197,22.791041
10/14/1999,16.579503,20.504331,15.927213,20.968677,34.370048,16.738358,16.454628,21.046803,22.466192
10/15/1999,16.148867,20.204556,15.209972,20.67334,33.554539,16.129485,16.067046,20.6835,21.894467
10/18/1999,16.234994,20.240533,15.699519,20.271686,33.252005,16.428389,16.190367,20.583277,22.037403
10/19/1999,16.267296,20.300482,16.029671,20.283495,32.725866,17.125824,15.996576,20.5958,22.258292
10/20/1999,16.127335,20.720166,16.314285,20.4607,34.041214,17.192238,16.023005,21.096914,22.648115
10/21/1999,16.364185,20.816093,16.393982,20.236242,33.488768,17.314016,15.776362,21.134502,22.453203
10/22/1999,16.579503,21.163823,17.077065,20.779664,33.567689,17.424719,15.970147,21.397583,23.037918
10/25/1999,16.579503,20.816093,16.929068,20.74422,33.659767,17.225453,15.793973,21.397583,22.635116
10/26/1999,16.331883,20.336459,16.667215,20.614269,33.672917,17.004046,15.890872,21.247249,22.076389
10/27/1999,16.299589,20.504331,17.486914,20.685157,33.633453,17.214387,16.304883,21.247249,22.141353
10/28/1999,16.256526,20.600258,18.727843,21.157691,34.50159,17.524357,16.91268,22.161778,22.972954
10/29/1999,16.719456,20.744148,18.625385,21.264007,35.777474,17.590771,16.877445,22.587734,23.609643
11/1/1999,16.557971,20.732152,18.397691,20.720593,35.72486,17.623986,17.036001,22.600257,23.440729
11/2/1999,16.708694,20.540299,18.374922,20.980486,35.567018,17.280801,16.877445,22.312112,23.271815
11/3/1999,16.687162,20.432386,18.295233,20.838726,36.093158,17.723615,16.683654,22.412335,23.076904
11/4/1999,16.90248,20.108629,18.511538,20.779664,36.369378,17.646126,16.595567,22.662892,23.362766
11/5/1999,16.870187,19.617009,18.966926,20.88598,36.763989,17.77897,16.736506,22.562669,23.518691
11/8/1999,16.708694,20.360441,18.86446,20.921424,37.132286,17.75683,16.84221,22.600257,23.440729
11/9/1999,16.773289,20.792111,18.500149,20.933233,36.724525,17.44686,16.595567,22.449923,23.193843
11/10/1999,16.816353,21.247763,18.215536,20.850535,37.369042,17.457926,16.666036,22.587734,23.284804
11/11/1999,16.719456,21.247763,18.113077,20.933233,37.882032,17.457926,16.613184,22.850815,23.336779
11/12/1999,16.773289,21.391653,18.898618,21.074993,38.092487,17.579704,16.666036,23.301817,23.882516
11/15/1999,17.203926,21.511561,18.887238,21.193127,37.921495,17.502208,16.586761,23.40204,23.921493
11/16/1999,17.268521,21.871286,19.399545,21.689287,38.723854,17.834326,16.551527,23.702709,24.025443
11/17/1999,17.203926,22.254993,18.989696,21.831047,38.355557,17.745763,16.674842,23.464675,23.817543
11/18/1999,17.096267,22.254993,18.932776,21.901927,39.657755,17.834326,16.551527,23.615009,23.921493
11/19/1999,17.020901,21.751378,18.648155,21.642033,40.026052,17.712548,16.560332,23.502263,23.700604
11/22/1999,16.827123,21.403639,18.579846,21.547527,40.275965,17.90074,16.375353,23.251706,23.42774
11/23/1999,16.676392,20.959983,18.283844,21.334887,39.920825,17.856459,16.207985,22.863338,23.336779
11/24/1999,16.697932,21.223781,18.067539,21.346704,40.539035,18.066799,16.119898,23.189071,23.466716
