,Date,xlb,xle,xlf,xli,xlk,xlp,xlu,xlv,xly
4148,1998-12-22,14.214053,17.620825,16.837820999999998,17.481378,26.977797,18.625472,16.477519,20.06963,21.098276000000002
4147,1998-12-23,14.363346,17.987682999999997,17.0861,17.786422,27.622315000000004,19.07573,16.408467,20.520633,21.188878
4146,1998-12-24,14.693901,17.893010999999998,17.198954,18.021071,27.517087,19.042788,16.710572,20.645910999999998,21.577199
4145,1998-12-28,14.565942999999999,17.798339000000002,16.973246,18.114931,27.596008,18.932968,16.624257,20.345243,21.383038
4144,1998-12-29,14.832526999999999,17.975854,17.153812,18.373045,27.674929,19.350284,16.900465,20.796246,21.849013
4143,1998-12-30,14.789874,17.703667000000003,17.0861,18.290923,27.569701000000002,19.229485999999998,16.762361,20.620856,21.6678
4142,1998-12-31,14.960485999999998,17.679999,16.928104,18.44344,27.464472999999998,19.086716,16.701944,20.846357,21.641913
4141,1999-01-04,14.779207000000001,17.668160999999998,16.928104,18.185326,27.780155999999998,18.932968,16.434364000000002,20.796246,21.512476
4140,1999-01-05,15.141755999999999,17.573489000000002,17.0861,18.560765,28.490445,19.07573,16.632892000000002,21.12197,21.8749
4139,1999-01-06,15.408332000000001,18.153359,17.627799,18.959669,29.332266999999998,19.306356,16.805522,21.47275,22.496199
4138,1999-01-07,15.291041,18.070526,17.898649,18.795414,29.240196,19.086716,16.745098000000002,21.372526999999998,22.470312
4137,1999-01-08,15.813542000000002,18.153359,18.011503,18.936204,29.358574,19.009846,16.840048,21.635617,22.496199
4136,1999-01-11,15.845528,17.810169000000002,17.740653,18.760220999999998,29.647951000000003,18.625472,16.39121,21.685728,22.379701
4135,1999-01-12,15.440326,17.537991,17.244095,18.5373,28.845584999999996,18.48271,16.399838,21.598029,21.797238
4134,1999-01-13,15.099103,17.277642999999998,17.018387,18.068001000000002,28.832434999999997,18.515652,16.512045,21.397582999999997,21.900788000000002
4133,1999-01-14,14.843186,16.946291,16.589542,17.985870000000002,28.437831,18.164228,16.235837,21.222193,21.408926
4132,1999-01-15,15.067110000000001,17.206639000000003,17.063529,18.290923,29.279653999999997,18.361904,16.313523,21.510329000000002,21.680749
4131,1999-01-19,14.789874,17.206639000000003,16.973246,18.255720999999998,30.292475,18.153242000000002,16.865939,22.124199,21.6678
4130,1999-01-20,14.736554,17.064631,17.097389,18.173589,30.568695,18.208156,16.796886999999998,22.249477,22.030225
4129,1999-01-21,14.672575,17.206639000000003,16.792679,18.021071,29.779486,17.933602,16.73647,21.47275,21.823125
4128,1999-01-22,14.384664,17.111967,16.679825,17.669097,29.253346999999998,17.845746,16.848676,21.38506,21.926675
4127,1999-01-25,14.672575,17.088299,16.81525,17.962413,29.766336,17.801818,16.21858,21.56044,21.8749
4126,1999-01-26,14.629922,16.922623,16.826539999999998,17.962413,30.963299,18.219142,16.537942,21.660663,22.392649
4125,1999-01-27,14.512623000000001,16.614939,16.612113,18.103203,30.305625,18.460738,16.287632000000002,21.447694,22.366761999999998
4124,1999-01-28,14.331351999999999,16.520267,16.860392,18.126659,31.371053999999997,18.790206,16.313523,21.848585999999997,22.599749
4123,1999-01-29,14.405999,16.520267,17.221525,18.243993,31.831428999999996,18.834134,16.287632000000002,21.848585999999997,22.755074
4122,1999-02-01,14.52329,16.354591,16.928104,18.267449,31.857736,18.757255999999998,16.253106,21.973864000000003,22.806849
4121,1999-02-02,14.533957000000001,16.378259,16.747538,18.126659,31.318440000000002,18.911004000000002,16.037316,21.648139999999998,22.522087
4120,1999-02-03,14.544616,16.756947,16.871681,18.302651,31.542053000000003,18.845112,16.123631,22.061555,22.884511
4119,1999-02-04,14.971145000000002,16.851619,16.476688,18.326116,30.463466999999998,18.757255999999998,15.881948999999999,21.898697,22.755074
4118,1999-02-05,15.17375,17.324979000000003,16.341263,18.267449,29.726871999999997,18.471724,15.890576999999999,21.648139999999998,22.18555
4117,1999-02-08,15.099103,17.561659,16.296122,18.326116,30.226703999999998,18.438782,15.890576999999999,21.635617,22.547974
4116,1999-02-09,14.811193,17.230307,16.070414000000003,18.079729,29.042890999999997,18.109314,15.959629000000001,21.247249,21.849013
4115,1999-02-10,14.843186,17.277642999999998,16.205838,18.150133,29.253346999999998,18.241098,15.847423000000001,21.29736,21.849013
4114,1999-02-11,14.693901,17.135635,16.860392,18.39651,30.489774,18.548594,15.916475,21.873642,22.560922
4113,1999-02-12,14.619263,16.780615,16.612113,18.290923,29.279653999999997,18.394854000000002,15.65753,21.547917,22.159662
4112,1999-02-16,14.480637,16.662275,16.860392,18.384782,29.148119,18.614494,15.942372,21.748363,22.444423999999998
4111,1999-02-17,14.331351999999999,16.496599,16.928104,18.384782,28.490445,18.427796,15.830160000000001,21.522861,22.366761999999998
4110,1999-02-18,14.437984,16.543935,17.097389,18.384782,28.648286,18.625472,16.115002,21.798474,22.392649
4109,1999-02-19,14.555276000000001,16.449263000000002,17.153812,18.502098,28.911356,18.548594,15.942372,21.861109,22.509148
4108,1999-02-22,14.800532999999998,16.614939,17.650370000000002,18.783678,29.937328000000004,18.943946,16.460262,22.324644,23.078672
4107,1999-02-23,14.672575,16.472931,17.876078,18.771949,30.331932000000002,18.911004000000002,15.942372,22.287065,22.962173
4106,1999-02-24,14.629922,16.401927,17.289237,18.72502,29.490109000000004,18.801184,16.089105,22.023976,22.677411
4105,1999-02-25,14.629922,16.484761,17.176382999999998,18.349581,29.569029999999998,18.581544,15.743845,21.810998,22.418537
4104,1999-02-26,14.629922,16.378259,17.492373999999998,18.408239000000002,28.674592999999998,18.63645,15.838794,21.873642,22.612697
4103,1999-03-01,14.459310999999998,16.212583,17.560087,18.39651,28.543058000000002,18.548594,15.605741,21.836063,22.625636
4102,1999-03-02,14.331351999999999,16.046907,17.605228,18.243993,27.780155999999998,18.493688,15.372686999999999,21.823529999999998,22.677411
4101,1999-03-03,14.235387,16.401927,17.435942999999998,18.138396,28.253682,18.493688,15.381322,21.685728,22.560922
4100,1999-03-04,14.278039999999999,16.993627,17.830935999999998,18.490370000000002,28.543058000000002,18.746278,15.623004000000002,22.074087,23.039835999999998
4099,1999-03-05,14.757881,17.313149,18.282353,18.901010999999997,29.200733000000003,19.031802,15.890576999999999,22.575201999999997,23.738797
4098,1999-03-08,14.853845999999999,17.561659,18.158209,19.006598999999998,30.042556,19.119657999999998,15.709319,22.600257,23.842347
4097,1999-03-09,14.725887,17.372315,18.304923000000002,19.100459,29.726871999999997,19.14163,15.666165,22.424867000000003,23.90707
4096,1999-03-10,14.928492000000002,18.366371,18.643485000000002,19.065257,29.726871999999997,18.932968,15.614369,22.625313000000002,23.842347
4095,1999-03-11,15.088444,18.626719,18.733769,19.088729999999998,29.674258000000002,19.119657999999998,15.735217,22.775647,24.101221
4094,1999-03-12,15.024457,18.555715,18.767629,19.147388,29.411188,19.284392,15.907846,22.650369,24.204771
4093,1999-03-15,15.05645,18.413707000000002,18.824052,19.100459,29.884714000000002,19.449126,15.951001000000002,22.725535999999998,24.256546
4092,1999-03-16,14.992470999999998,18.319035,18.553202,18.971397,30.397703000000003,19.536983,15.890576999999999,22.675424,24.127109
4091,1999-03-17,14.949817999999999,18.792395000000003,18.395207,18.936204,30.200397,19.207514,15.743845,22.550145999999998,24.023559
4090,1999-03-18,15.269715,19.029075,18.824052,18.983134,30.621309000000004,19.536983,15.976898,22.863338,24.437758
4089,1999-03-19,15.28897,18.836202,18.466667,19.101085,29.884714000000002,19.450463,15.682324,22.763115,24.101479
4088,1999-03-22,15.331766,18.954967,18.511929000000002,18.959770000000002,29.884714000000002,19.439466,15.73446,22.70048,23.842323
4087,1999-03-23,14.9466,18.622424,17.878268,18.512272,29.016584,18.889388,15.239226,22.074087,23.116687
4086,1999-03-24,14.957303,18.527411999999998,17.833007000000002,18.465167,29.582179999999997,18.878391,15.447744,22.174310000000002,22.935278
4085,1999-03-25,15.010801999999998,18.574918,18.24036,18.665359,30.279318,19.021404999999998,15.395615,22.550145999999998,23.634999
4084,1999-03-26,14.893107999999998,18.812448999999997,18.081945,18.712464,30.121476,18.955405,15.195781,22.374756,23.479505
4083,1999-03-29,15.139191,19.335017,18.489298,19.018655,31.252676,19.197426999999998,15.11759,22.650369,24.049648
4082,1999-03-30,15.10709,18.978720000000003,18.27431,19.006875,31.200062,19.032410000000002,14.874317999999999,22.575201999999997,24.075563
4081,1999-03-31,14.893107999999998,18.693683,18.059314,18.794902,30.805458,18.614357000000002,14.839564999999999,22.449923000000002,23.712745
4080,1999-04-01,15.064293,18.669929999999997,18.104576,18.995094,31.292140000000003,18.647366,15.152343,22.449923000000002,23.68683
4079,1999-04-05,15.246174,19.121239000000003,18.466667,19.407267,32.370719,18.746374,15.273979,22.951037,23.997817
4078,1999-04-06,14.978701000000001,18.931214,18.330883,19.301285,32.646945,18.537344,15.195781,22.976093,24.127394
4077,1999-04-07,15.139191,18.741189000000002,18.828758999999998,19.33661,32.568024,18.515349,15.395615,23.414564000000002,24.334719
4076,1999-04-08,15.353172,18.931214,19.168219,19.442601,32.883708,18.944399,15.803967000000002,23.652597,24.878946
4075,1999-04-09,15.278275,19.28751,19.122957999999997,19.454372,32.831094,18.988405,15.691016000000001,23.727764999999998,25.112185999999998
4074,1999-04-12,15.727635999999999,19.430029,19.462419,19.925423000000002,32.331262,19.307449,15.916910999999999,24.329102,25.319511
4073,1999-04-13,15.920219,19.406276000000002,19.439788,20.07851,31.831428999999996,19.373449,15.656263000000001,24.078545000000002,25.189933
4072,1999-04-14,16.690552,19.168745,19.19085,20.514235,31.04222,18.79038,15.430368,23.853043,24.61979
4071,1999-04-15,17.332497,20.000103,19.009804000000003,21.044171,31.305290000000003,18.328321,15.586757,23.251706,24.567959
4070,1999-04-16,17.52508,20.629556,18.919280999999998,21.161925,30.463466999999998,18.405327,15.760522,23.026204999999997,24.645706
4069,1999-04-19,17.706968,20.878968,18.919280999999998,21.338573,28.990277000000003,17.635237,15.916910999999999,22.399812,24.101479
4068,1999-04-20,17.492987,20.546424,19.168219,21.197257999999998,29.726871999999997,17.965270999999998,16.090676000000002,22.825758999999998,24.412466000000002
4067,1999-04-21,17.567876000000002,20.237634,19.462419,21.267916,30.516081,18.537344,16.377385999999998,23.351929000000002,24.827115
4066,1999-04-22,17.2897,20.59393,19.666095000000002,21.279695999999998,31.923507,18.768376999999997,16.325263,23.827988,24.891899
4065,1999-04-23,17.546478,20.332646,19.598203,21.444554999999998,31.989271000000002,18.735377,16.316571,24.366681,25.164017
4064,1999-04-26,17.375293,19.881338,19.304004,21.421011,32.804787,18.603360000000002,16.229689,24.329102,25.008523999999998
4063,1999-04-27,17.717663,20.510799,19.643464,21.526993,31.989271000000002,18.625355,16.325263,24.354157999999998,25.073317000000003
4062,1999-04-28,18.659181,21.187758,19.530310999999998,21.797851,31.56836,18.350324,16.255757,23.702709,24.982608
4061,1999-04-29,18.798265,21.829091000000002,19.598203,21.880281,31.239526,18.20731,16.490337,23.427096,24.412466000000002
4060,1999-04-30,18.573589000000002,21.460923,19.326634,21.621203,30.989606,17.965270999999998,16.273127,23.251706,24.334719
4059,1999-05-03,19.001552,21.995363,19.552942,22.045148,31.252676,18.383332,16.516398000000002,23.702709,24.930777
4058,1999-05-04,18.883858,22.019116,18.941912,22.139357999999998,30.779151000000002,18.229305,16.377385999999998,23.251706,24.645706
4057,1999-05-05,19.108542,21.698454,19.055066,22.139357999999998,31.410518,18.405327,16.507713,23.452151999999998,24.438381
4056,1999-05-06,19.269025,21.639067,18.738235999999997,22.186464,30.621309000000004,18.163304,16.160182,23.552375,23.894154
4055,1999-05-07,19.311821,21.769704,19.100327,22.610409,31.147447999999997,18.317316,16.360016,23.477207,24.438381
4054,1999-05-10,19.204838,21.520301,19.032435,22.304226,31.410518,18.031287,16.316571,23.427096,24.412466000000002
4053,1999-05-11,19.172736999999998,21.59156,19.258742,22.681066,31.884043,18.108293,16.377385999999998,23.802932000000002,24.904861999999998
4052,1999-05-12,18.691283,21.187758,19.530310999999998,22.457322,32.515409999999996,18.372327,16.420831,24.028433,25.060354999999998
4051,1999-05-13,18.616385,21.294642,19.711357,22.233569,32.423333,18.460338,16.63804,23.878099,24.930777
4050,1999-05-14,18.562894,21.140252,19.100327,21.950938,31.56836,18.130295999999998,16.325263,23.452151999999998,24.438381
4049,1999-05-17,18.541488,21.057111,18.738235999999997,21.903833,32.015578000000005,18.251314999999998,16.664102,23.301817,23.945985
4048,1999-05-18,18.092135,20.570176999999997,18.783497,21.621203,32.304955,18.009276999999997,16.299195,23.05126,24.101479
4047,1999-05-19,18.274015,20.855215,18.919280999999998,21.950938,32.410183,18.262313,16.63804,23.326873000000003,23.816408
4046,1999-05-20,18.060032999999997,21.092745,18.670344,22.009815,31.989271000000002,18.306318,16.603286999999998,23.640074,24.023732
4045,1999-05-21,18.049338,21.425289000000003,18.625082,21.750746,31.620974,18.251314999999998,16.446892000000002,23.376985,23.868239000000003
4044,1999-05-24,17.974441,20.914593,18.217729000000002,21.562326000000002,30.936992,17.778251,16.611972,22.825758999999998,23.349926999999997
4043,1999-05-25,17.803256,20.831460999999997,17.742484,21.49166,30.292475,17.602229,16.629348999999998,22.600257,23.116687
4042,1999-05-26,17.632071,21.425289000000003,18.319572,21.338573,30.923841999999997,17.602229,16.716232,22.625313000000002,23.375843
4041,1999-05-27,17.225506,20.783955,17.878268,20.985286,30.700229999999998,17.514218,16.429522,22.374756,22.909363
4040,1999-05-28,16.883135,20.997733,18.161148,21.197257999999998,31.094834000000002,17.778251,16.464275,22.537623,23.233303
4039,1999-06-01,17.610672,20.878968,17.900899,21.20903,30.397703000000003,17.844260000000002,16.455583999999998,22.600257,23.375843
4038,1999-06-02,17.589274,21.116498999999997,17.787746,21.49166,30.726537,17.569221,16.455583999999998,22.52509,23.324012
4037,1999-06-03,17.642766,21.187758,17.776434,21.715413,30.516081,17.734246,16.299195,22.70048,23.868239000000003
4036,1999-06-04,17.974441,21.520301,18.104576,21.939166,31.423668,18.350324,16.542466,23.251706,24.049648
4035,1999-06-07,18.027932,21.769704,18.444035999999997,22.15113,31.989271000000002,18.196304,16.681479,23.05126,24.114432
4034,1999-06-08,17.803256,21.425289000000003,18.115887,21.950938,31.252676,17.943276,16.681479,22.863338,23.751614
4033,1999-06-09,17.632071,21.472795,18.070625,21.974491,31.726201,17.844260000000002,16.811806,22.875870000000003,23.518383
4032,1999-06-10,17.931645,21.59156,17.731173000000002,21.715413,31.252676,17.514218,16.672794,22.687957,23.181471
4031,1999-06-11,17.771155,21.757832,17.765114999999998,21.68008,30.831765,17.338196,16.559843,22.424867000000003,23.064856
4030,1999-06-14,18.199117,21.947857,17.674592,21.939166,30.687072999999998,17.393199,17.020324,22.550145999999998,23.090772
4029,1999-06-15,18.359607,22.221022,17.765114999999998,22.009815,30.963299,17.437204,17.037695000000003,22.800703,22.935278
4028,1999-06-16,18.434504999999998,21.995363,18.229049,22.316007,32.23919,17.569221,17.202775,23.251706,23.557252
4027,1999-06-17,18.498691,22.019116,18.579821,22.492646,32.594331,17.712243,17.055077,23.364452,23.440627
4026,1999-06-18,18.54566,22.059032000000002,18.608687,22.662817999999998,32.883708,17.705619,17.115986,23.251706,23.614915
4025,1999-06-21,18.094897,21.545749,18.722154,22.356245,33.712381,17.506795999999998,16.984866,23.13896,24.030122
4024,1999-06-22,17.858784,21.318956,18.517913,22.250128,33.002086,17.606207,16.923672,23.101372,23.87442
4023,1999-06-23,17.944643,21.48607,18.336364,22.320867,33.252005,17.418433,16.871222,23.151483,23.537064
4022,1999-06-24,17.53681,21.127969,18.041349,22.085041,32.568024,17.363211,16.687646,22.725535999999998,23.485163
4021,1999-06-25,17.644135000000002,20.960855,18.086736,21.955342,32.607488000000004,17.35217,16.600237,22.750592,23.407311
4020,1999-06-28,17.976845,20.829547,18.50657,21.990710999999997,33.146778000000005,17.363211,16.775068,23.001148999999998,23.861449
4019,1999-06-29,17.869512,21.116028,18.5633,22.108632,33.567689,17.672479,16.783807,23.22665,24.263676
4018,1999-06-30,17.858784,21.426391,18.949089999999998,22.49774,34.080678000000006,18.092201,17.142208,23.527319,24.730785
4017,1999-07-01,18.030503,21.593496,19.153331,22.509527,34.462126,18.224744,17.081020000000002,23.602486,24.860537
4016,1999-07-02,18.395406,21.665125,19.153331,22.615653,34.909344,18.291016,17.089765,23.602486,24.990289
4015,1999-07-06,18.309545999999997,22.070964,19.312185999999997,22.639235,34.712045,18.279975,17.037309,23.552375,25.197893
4014,1999-07-07,18.202222,22.011285,19.244104999999998,22.474158,35.1198,18.202654000000003,17.194663000000002,23.702709,24.964339000000002
4013,1999-07-08,18.073432999999998,22.154526,19.176025,22.556692,35.593325,18.059069,17.054798,23.652597,24.756735
4012,1999-07-09,18.363212,22.142592999999998,19.198718,22.580282999999998,35.974779999999996,18.147431,17.054798,23.75282,24.756735
4011,1999-07-12,18.245151999999997,22.369386,19.039864,22.379827,36.027394,18.114291,16.984866,23.802932000000002,24.601032
4010,1999-07-13,18.234423,22.154526,18.835622,22.297293,35.869552,18.180563,16.906189,23.75282,24.419379
4009,1999-07-14,18.137826999999998,22.19034,18.881009,22.415197,36.316764,18.125332,17.011087,23.802932000000002,24.47128
4008,1999-07-15,17.858784,22.39326,19.051215,22.568488000000002,36.579833,18.324156,17.273334,23.915678,24.795665
4007,1999-07-16,18.019773999999998,22.250019,19.153331,22.603857,36.908674,18.291016,17.474394,23.92821,24.938388
4006,1999-07-19,17.848055,22.166458,19.01717,22.627448,36.461455,18.136382,17.308301,23.827988,24.886487
4005,1999-07-20,17.815854,21.581564,18.778892000000003,22.603857,34.948802,17.981748,17.386972,23.727764999999998,24.237726000000002
4004,1999-07-21,17.772924,21.820298,18.5633,22.580282999999998,35.251335,18.059069,17.491870000000002,23.677653,24.004172
4003,1999-07-22,17.858784,21.498002,18.585993,22.49774,34.159593,17.860245000000003,17.465649,23.301817,23.692766
4002,1999-07-23,17.858784,21.605437,18.381752,22.379827,34.251670000000004,17.727701999999997,17.352005,23.101372,23.511113
4001,1999-07-26,17.633406,21.199589000000003,18.449832,22.21475,33.475611,17.893385000000002,17.378232999999998,23.126427,23.640864999999998
4000,1999-07-27,17.880249,21.199589000000003,18.699461,22.509527,34.304284,17.948608,17.483132,23.552375,23.770618
3999,1999-07-28,17.976845,21.509943,18.472526000000002,22.379827,34.619968,17.782932000000002,17.448166,23.376985,23.692766
